id,referencia,marca,capacidad,consumo,ciudad,responsable
7510,ACH01,sony,454,415,Medellin,Pedro Perez
2749,ACH43,sony,1921,1879,La estrella,Ana Rubio
4773,ACH22,rico,1880,1603,La estrella,Jhon doe
6818,ACH43,kalley,2359,2277,itagui,Jhon doe
887,ACH01,sony,2324,2006,itagui,Martha builes
3467,ACH22,sony,2362,2237,itagui,Ana Rubio
711,ACH01,sony,1423,1064,Sabaneta,Jhon doe
1861,ACH43,rico,569,852,Envigado,Jhon doe
6411,ACH43,kalley,2403,2026,itagui,Ana Rubio
383,ACH22,sony,211,466,Medellin,Martha builes
2379,ACH22,sony,1252,1329,Sabaneta,Jhon doe
9432,ACH43,sony,120,246,Medellin,Pedro Perez
9713,ACH22,rico,265,185,Medellin,Pedro Perez
2686,ACH43,sony,2340,2346,itagui,Martha builes
6696,ACH43,kalley,867,782,Envigado,Martha builes
3528,ACH22,rico,1427,1245,Sabaneta,Pedro Perez
3443,ACH43,rico,177,112,Medellin,Jhon doe
4125,ACH01,kalley,2136,2010,itagui,Jhon doe
1147,ACH01,kalley,116,125,Medellin,Pedro Perez
27,ACH43,kalley,1844,1722,La estrella,Carlos Zapata
6562,ACH01,rico,1157,1031,Sabaneta,Carlos Zapata
1867,ACH01,sony,1074,1097,Sabaneta,Jhon doe
3409,ACH22,sony,1801,1623,La estrella,Martha builes
9631,ACH22,sony,314,335,Medellin,Martha builes
6220,ACH01,rico,1224,1465,Sabaneta,Jhon doe
6800,ACH22,rico,1331,1355,Sabaneta,Martha builes
3376,ACH22,sony,1187,1390,Sabaneta,Pedro Perez
8467,ACH22,rico,583,881,Envigado,Pedro Perez
3663,ACH01,kalley,1538,1745,La estrella,Jhon doe
8044,ACH01,kalley,254,186,Medellin,Carlos Zapata
7042,ACH22,rico,1062,1112,Sabaneta,Jhon doe
6083,ACH43,rico,557,542,Envigado,Ana Rubio
3877,ACH22,rico,1534,1901,La estrella,Carlos Zapata
3296,ACH43,sony,1170,1280,Sabaneta,Ana Rubio
5605,ACH22,sony,1361,1464,Sabaneta,Martha builes
3851,ACH01,kalley,641,809,Envigado,Ana Rubio
9316,ACH22,sony,1139,1018,Sabaneta,Martha builes
6136,ACH43,rico,1362,1090,Sabaneta,Martha builes
2802,ACH22,sony,1542,1999,La estrella,Ana Rubio
8363,ACH01,sony,2257,2215,itagui,Carlos Zapata
9677,ACH43,kalley,1408,1452,Sabaneta,Jhon doe
2447,ACH22,kalley,2123,2458,itagui,Ana Rubio
5722,ACH01,sony,960,555,Envigado,Jhon doe
6002,ACH01,kalley,697,862,Envigado,Pedro Perez
1620,ACH01,rico,1672,1938,La estrella,Pedro Perez
3298,ACH43,sony,2392,2303,itagui,Martha builes
5565,ACH43,rico,1869,1925,La estrella,Jhon doe
2344,ACH43,kalley,924,770,Envigado,Ana Rubio
6009,ACH01,rico,1212,1089,Sabaneta,Ana Rubio
3974,ACH43,sony,1611,1785,La estrella,Martha builes
4712,ACH22,kalley,169,368,Medellin,Carlos Zapata
6451,ACH22,sony,1383,1057,Sabaneta,Ana Rubio
4266,ACH43,kalley,1447,1235,Sabaneta,Ana Rubio
8748,ACH01,kalley,2490,2017,itagui,Ana Rubio
6739,ACH22,sony,2028,2286,itagui,Martha builes
7053,ACH01,kalley,1311,1249,Sabaneta,Pedro Perez
7374,ACH43,kalley,1909,1681,La estrella,Carlos Zapata
4426,ACH43,sony,1163,1106,Sabaneta,Jhon doe
9025,ACH43,sony,2261,2402,itagui,Jhon doe
8818,ACH43,sony,1904,1667,La estrella,Pedro Perez
1082,ACH22,rico,203,383,Medellin,Jhon doe
9978,ACH01,kalley,395,396,Medellin,Jhon doe
3941,ACH43,rico,671,523,Envigado,Jhon doe
619,ACH22,sony,1205,1086,Sabaneta,Martha builes
9974,ACH43,sony,1780,1839,La estrella,Jhon doe
6402,ACH22,kalley,951,843,Envigado,Jhon doe
1775,ACH22,rico,331,252,Medellin,Ana Rubio
7708,ACH22,kalley,332,312,Medellin,Martha builes
5002,ACH43,sony,803,613,Envigado,Jhon doe
4829,ACH22,rico,258,267,Medellin,Martha builes
7402,ACH22,rico,1618,1907,La estrella,Carlos Zapata
6033,ACH22,kalley,298,300,Medellin,Jhon doe
2601,ACH01,rico,526,955,Envigado,Ana Rubio
789,ACH01,kalley,2381,2065,itagui,Pedro Perez
4501,ACH43,sony,633,731,Envigado,Pedro Perez
6034,ACH43,sony,1704,1709,La estrella,Carlos Zapata
1304,ACH22,kalley,2405,2461,itagui,Martha builes
5455,ACH01,kalley,1478,1148,Sabaneta,Martha builes
6565,ACH01,rico,555,874,Envigado,Pedro Perez
1168,ACH01,rico,634,730,Envigado,Carlos Zapata
9263,ACH43,kalley,713,590,Envigado,Ana Rubio
3544,ACH01,rico,893,751,Envigado,Ana Rubio
1956,ACH01,sony,2164,2400,itagui,Martha builes
1034,ACH01,sony,228,130,Medellin,Jhon doe
9880,ACH43,kalley,304,260,Medellin,Ana Rubio
6756,ACH22,sony,327,247,Medellin,Carlos Zapata
2967,ACH01,rico,1737,1707,La estrella,Ana Rubio
1646,ACH22,kalley,153,394,Medellin,Pedro Perez
7207,ACH22,rico,2495,2071,itagui,Pedro Perez
1958,ACH01,kalley,990,795,Envigado,Carlos Zapata
2574,ACH01,rico,1532,1836,La estrella,Carlos Zapata
8453,ACH22,sony,795,716,Envigado,Jhon doe
9164,ACH22,rico,1851,1927,La estrella,Carlos Zapata
3787,ACH01,sony,2236,2485,itagui,Jhon doe
6406,ACH22,rico,2224,2216,itagui,Jhon doe
1538,ACH01,kalley,1192,1423,Sabaneta,Carlos Zapata
7891,ACH01,sony,2428,2260,itagui,Jhon doe
1516,ACH43,sony,105,137,Medellin,Ana Rubio
9046,ACH01,rico,2248,2260,itagui,Pedro Perez
6593,ACH22,rico,390,111,Medellin,Jhon doe
6644,ACH22,kalley,1425,1371,Sabaneta,Pedro Perez
1927,ACH01,sony,1684,1912,La estrella,Martha builes
2359,ACH22,sony,2293,2494,itagui,Carlos Zapata
898,ACH01,rico,1236,1093,Sabaneta,Carlos Zapata
3033,ACH01,kalley,345,416,Medellin,Ana Rubio
2746,ACH22,sony,759,827,Envigado,Martha builes
2647,ACH43,kalley,1297,1392,Sabaneta,Carlos Zapata
4821,ACH22,rico,1693,1689,La estrella,Martha builes
54,ACH22,rico,108,234,Medellin,Ana Rubio
937,ACH01,rico,734,791,Envigado,Martha builes
3031,ACH01,rico,109,493,Medellin,Pedro Perez
83,ACH43,sony,1880,1754,La estrella,Martha builes
4572,ACH43,sony,267,363,Medellin,Ana Rubio
702,ACH01,rico,2235,2299,itagui,Jhon doe
4389,ACH43,sony,2366,2419,itagui,Martha builes
299,ACH22,sony,391,466,Medellin,Pedro Perez
6263,ACH22,rico,1786,1824,La estrella,Carlos Zapata
124,ACH22,kalley,137,247,Medellin,Martha builes
9259,ACH43,kalley,1379,1268,Sabaneta,Jhon doe
2184,ACH01,kalley,435,349,Medellin,Ana Rubio
5631,ACH22,sony,1246,1180,Sabaneta,Carlos Zapata
529,ACH43,kalley,2276,2254,itagui,Carlos Zapata
4955,ACH22,sony,637,533,Envigado,Ana Rubio
7391,ACH01,sony,1466,1388,Sabaneta,Jhon doe
5543,ACH01,sony,1020,1110,Sabaneta,Carlos Zapata
8662,ACH43,kalley,315,305,Medellin,Carlos Zapata
7539,ACH01,rico,417,393,Medellin,Ana Rubio
5175,ACH22,kalley,1300,1328,Sabaneta,Martha builes
3680,ACH22,rico,1543,1941,La estrella,Martha builes
2941,ACH01,sony,1787,1976,La estrella,Jhon doe
8152,ACH01,sony,1280,1265,Sabaneta,Pedro Perez
7905,ACH01,sony,1564,1981,La estrella,Ana Rubio
4759,ACH43,kalley,676,922,Envigado,Ana Rubio
1618,ACH22,sony,910,524,Envigado,Jhon doe
5153,ACH43,kalley,375,175,Medellin,Jhon doe
9634,ACH01,kalley,846,511,Envigado,Jhon doe
4865,ACH01,rico,1853,1749,La estrella,Ana Rubio
2976,ACH43,kalley,777,983,Envigado,Pedro Perez
6542,ACH01,rico,169,285,Medellin,Martha builes
3134,ACH22,kalley,425,414,Medellin,Jhon doe
6157,ACH01,rico,1407,1252,Sabaneta,Carlos Zapata
8209,ACH22,sony,1319,1064,Sabaneta,Martha builes
7468,ACH22,kalley,358,135,Medellin,Martha builes
3955,ACH01,rico,1555,1822,La estrella,Carlos Zapata
9859,ACH43,sony,1006,1075,Sabaneta,Carlos Zapata
5088,ACH43,sony,1529,1791,La estrella,Pedro Perez
9809,ACH43,rico,1130,1284,Sabaneta,Carlos Zapata
510,ACH43,kalley,1218,1467,Sabaneta,Martha builes
7241,ACH22,kalley,1620,1831,La estrella,Pedro Perez
2541,ACH22,kalley,2177,2257,itagui,Ana Rubio
3531,ACH43,rico,129,154,Medellin,Ana Rubio
9745,ACH22,kalley,484,332,Medellin,Jhon doe
5201,ACH01,sony,459,114,Medellin,Martha builes
3834,ACH43,rico,2347,2013,itagui,Carlos Zapata
4842,ACH22,rico,1178,1175,Sabaneta,Ana Rubio
8813,ACH22,sony,182,198,Medellin,Jhon doe
1131,ACH22,kalley,364,314,Medellin,Jhon doe
5873,ACH01,sony,1349,1067,Sabaneta,Jhon doe
2979,ACH43,kalley,2486,2105,itagui,Ana Rubio
87,ACH43,rico,454,277,Medellin,Ana Rubio
599,ACH22,kalley,560,752,Envigado,Ana Rubio
8486,ACH01,sony,933,948,Envigado,Carlos Zapata
73,ACH43,sony,329,429,Medellin,Martha builes
4229,ACH01,sony,447,213,Medellin,Ana Rubio
8994,ACH22,kalley,1323,1003,Sabaneta,Carlos Zapata
288,ACH22,kalley,539,977,Envigado,Carlos Zapata
4875,ACH22,kalley,1000,988,Envigado,Martha builes
6607,ACH01,kalley,1903,1665,La estrella,Jhon doe
8487,ACH22,kalley,159,260,Medellin,Carlos Zapata
663,ACH43,kalley,218,476,Medellin,Jhon doe
1248,ACH43,rico,430,454,Medellin,Carlos Zapata
1481,ACH01,rico,1106,1279,Sabaneta,Martha builes
1071,ACH22,kalley,1500,1860,La estrella,Ana Rubio
8587,ACH01,rico,327,281,Medellin,Ana Rubio
2689,ACH01,rico,1542,1607,La estrella,Pedro Perez
4056,ACH22,rico,336,408,Medellin,Pedro Perez
3344,ACH01,kalley,2435,2183,itagui,Pedro Perez
9618,ACH22,sony,2133,2449,itagui,Jhon doe
1311,ACH22,rico,350,308,Medellin,Pedro Perez
2955,ACH01,sony,1529,1760,La estrella,Ana Rubio
550,ACH22,rico,1605,1650,La estrella,Martha builes
5761,ACH01,rico,232,386,Medellin,Martha builes
7545,ACH01,kalley,629,692,Envigado,Pedro Perez
3863,ACH43,kalley,1130,1090,Sabaneta,Martha builes
4883,ACH43,sony,707,970,Envigado,Jhon doe
2277,ACH43,kalley,2232,2094,itagui,Ana Rubio
4848,ACH22,kalley,2319,2359,itagui,Pedro Perez
7739,ACH43,sony,2471,2429,itagui,Jhon doe
2283,ACH22,kalley,2006,2361,itagui,Carlos Zapata
1759,ACH43,rico,2009,2022,itagui,Martha builes
3190,ACH01,rico,1649,1944,La estrella,Carlos Zapata
1156,ACH43,kalley,1807,1839,La estrella,Jhon doe
1276,ACH43,sony,363,213,Medellin,Ana Rubio
5751,ACH22,sony,1128,1303,Sabaneta,Martha builes
2681,ACH43,sony,1424,1112,Sabaneta,Jhon doe
9445,ACH43,rico,2091,2105,itagui,Jhon doe
8161,ACH22,sony,1688,1711,La estrella,Ana Rubio
2742,ACH22,kalley,610,673,Envigado,Pedro Perez
142,ACH43,sony,2432,2450,itagui,Jhon doe
6790,ACH01,kalley,2366,2084,itagui,Jhon doe
5684,ACH43,rico,2394,2175,itagui,Carlos Zapata
8939,ACH22,rico,801,721,Envigado,Carlos Zapata
2585,ACH01,rico,1631,1719,La estrella,Martha builes
583,ACH43,rico,1361,1121,Sabaneta,Pedro Perez
7186,ACH43,sony,1869,1823,La estrella,Pedro Perez
1979,ACH01,sony,307,202,Medellin,Martha builes
6010,ACH22,rico,430,110,Medellin,Martha builes
9072,ACH22,kalley,895,777,Envigado,Jhon doe
4532,ACH22,rico,2258,2408,itagui,Jhon doe
3951,ACH22,sony,1644,1537,La estrella,Pedro Perez
5862,ACH01,kalley,1962,1919,La estrella,Ana Rubio
5623,ACH22,sony,408,169,Medellin,Martha builes
1843,ACH01,kalley,1763,1852,La estrella,Carlos Zapata
6339,ACH22,sony,1787,1791,La estrella,Jhon doe
2688,ACH01,kalley,380,116,Medellin,Ana Rubio
8584,ACH22,rico,1290,1279,Sabaneta,Jhon doe
5768,ACH22,kalley,2187,2306,itagui,Pedro Perez
9180,ACH43,kalley,2415,2479,itagui,Martha builes
4215,ACH43,kalley,1641,1951,La estrella,Pedro Perez
7642,ACH01,kalley,2304,2261,itagui,Pedro Perez
4773,ACH22,kalley,1885,1790,La estrella,Ana Rubio
2566,ACH01,kalley,2480,2482,itagui,Jhon doe
7943,ACH01,sony,403,182,Medellin,Martha builes
9308,ACH01,sony,2198,2470,itagui,Jhon doe
498,ACH22,kalley,177,330,Medellin,Jhon doe
8412,ACH43,rico,425,158,Medellin,Martha builes
714,ACH01,sony,2209,2354,itagui,Martha builes
8567,ACH43,sony,2500,2141,itagui,Pedro Perez
2946,ACH22,kalley,2367,2307,itagui,Martha builes
7236,ACH43,sony,1305,1010,Sabaneta,Ana Rubio
2450,ACH43,rico,1613,1630,La estrella,Ana Rubio
1971,ACH01,kalley,497,456,Medellin,Martha builes
9906,ACH22,kalley,930,569,Envigado,Jhon doe
522,ACH43,rico,677,702,Envigado,Pedro Perez
7404,ACH22,sony,1192,1391,Sabaneta,Ana Rubio
1255,ACH22,sony,1482,1455,Sabaneta,Jhon doe
5864,ACH01,sony,2063,2440,itagui,Jhon doe
7693,ACH43,kalley,571,579,Envigado,Carlos Zapata
7787,ACH43,kalley,816,527,Envigado,Carlos Zapata
1729,ACH43,sony,198,495,Medellin,Ana Rubio
8755,ACH22,kalley,1207,1222,Sabaneta,Jhon doe
2061,ACH43,sony,2148,2101,itagui,Ana Rubio
4963,ACH43,kalley,1899,1817,La estrella,Ana Rubio
2150,ACH22,kalley,874,908,Envigado,Pedro Perez
9149,ACH22,rico,529,913,Envigado,Pedro Perez
2623,ACH43,rico,1841,1728,La estrella,Jhon doe
115,ACH01,rico,315,258,Medellin,Pedro Perez
8665,ACH43,sony,1867,1800,La estrella,Jhon doe
493,ACH43,kalley,217,368,Medellin,Ana Rubio
8313,ACH43,kalley,1024,1414,Sabaneta,Ana Rubio
3511,ACH43,kalley,1802,1537,La estrella,Carlos Zapata
7011,ACH22,kalley,426,427,Medellin,Jhon doe
5147,ACH43,rico,1921,1938,La estrella,Carlos Zapata
5992,ACH01,rico,2388,2491,itagui,Ana Rubio
7279,ACH22,sony,1883,1658,La estrella,Carlos Zapata
6256,ACH43,kalley,473,116,Medellin,Pedro Perez
4943,ACH01,kalley,1485,1448,Sabaneta,Jhon doe
4047,ACH43,sony,2475,2133,itagui,Ana Rubio
9570,ACH43,sony,1846,1873,La estrella,Pedro Perez
1390,ACH43,sony,2339,2348,itagui,Ana Rubio
3998,ACH01,rico,1231,1017,Sabaneta,Jhon doe
1835,ACH43,rico,2099,2424,itagui,Pedro Perez
2870,ACH43,rico,1450,1250,Sabaneta,Carlos Zapata
7842,ACH22,sony,659,963,Envigado,Carlos Zapata
1739,ACH43,kalley,1436,1059,Sabaneta,Pedro Perez
6144,ACH22,kalley,1285,1067,Sabaneta,Ana Rubio
4627,ACH01,rico,991,565,Envigado,Jhon doe
9556,ACH43,sony,404,263,Medellin,Martha builes
2651,ACH01,rico,1385,1022,Sabaneta,Martha builes
2964,ACH01,rico,467,464,Medellin,Jhon doe
8007,ACH01,kalley,1775,1775,La estrella,Martha builes
4883,ACH01,rico,2253,2157,itagui,Martha builes
5176,ACH43,sony,1627,1568,La estrella,Ana Rubio
5271,ACH01,rico,1314,1014,Sabaneta,Jhon doe
6705,ACH43,rico,1669,1751,La estrella,Martha builes
6979,ACH22,rico,2101,2033,itagui,Ana Rubio
144,ACH01,sony,1907,1741,La estrella,Jhon doe
6871,ACH01,kalley,268,440,Medellin,Jhon doe
9227,ACH43,sony,623,590,Envigado,Ana Rubio
8720,ACH43,kalley,2363,2239,itagui,Ana Rubio
3470,ACH43,sony,438,301,Medellin,Pedro Perez
5117,ACH22,kalley,1322,1056,Sabaneta,Jhon doe
5179,ACH22,kalley,477,348,Medellin,Carlos Zapata
8382,ACH01,rico,846,519,Envigado,Martha builes
1889,ACH43,sony,218,498,Medellin,Jhon doe
1220,ACH01,rico,1021,1322,Sabaneta,Jhon doe
7134,ACH22,sony,2200,2261,itagui,Ana Rubio
4243,ACH01,rico,506,621,Envigado,Martha builes
811,ACH22,rico,142,231,Medellin,Martha builes
2541,ACH01,kalley,459,200,Medellin,Ana Rubio
9296,ACH22,kalley,572,822,Envigado,Ana Rubio
4244,ACH01,kalley,1110,1203,Sabaneta,Carlos Zapata
1514,ACH22,rico,107,254,Medellin,Pedro Perez
5136,ACH22,rico,2080,2264,itagui,Ana Rubio
2034,ACH22,kalley,815,699,Envigado,Martha builes
9177,ACH01,rico,196,264,Medellin,Ana Rubio
3627,ACH22,sony,502,882,Envigado,Carlos Zapata
6343,ACH43,kalley,1230,1061,Sabaneta,Jhon doe
5082,ACH01,kalley,1705,1839,La estrella,Carlos Zapata
5746,ACH01,kalley,967,960,Envigado,Carlos Zapata
1984,ACH22,kalley,112,378,Medellin,Jhon doe
2781,ACH43,kalley,538,798,Envigado,Ana Rubio
4655,ACH43,rico,2148,2253,itagui,Ana Rubio
3793,ACH01,kalley,1933,1637,La estrella,Carlos Zapata
6220,ACH01,kalley,208,444,Medellin,Pedro Perez
7212,ACH22,sony,1737,1654,La estrella,Pedro Perez
596,ACH43,kalley,1395,1126,Sabaneta,Pedro Perez
7442,ACH22,sony,457,377,Medellin,Carlos Zapata
4597,ACH22,kalley,1634,1548,La estrella,Jhon doe
8387,ACH43,sony,1008,1466,Sabaneta,Ana Rubio
6206,ACH01,kalley,1745,1868,La estrella,Pedro Perez
9828,ACH22,kalley,921,976,Envigado,Jhon doe
1749,ACH22,kalley,1578,1613,La estrella,Carlos Zapata
6447,ACH43,rico,1822,1539,La estrella,Ana Rubio
6397,ACH43,rico,2117,2336,itagui,Pedro Perez
9369,ACH22,sony,275,263,Medellin,Jhon doe
8776,ACH43,sony,479,188,Medellin,Ana Rubio
8146,ACH22,sony,763,556,Envigado,Ana Rubio
6103,ACH01,rico,211,482,Medellin,Ana Rubio
4567,ACH01,sony,1287,1005,Sabaneta,Martha builes
2987,ACH22,rico,1623,1980,La estrella,Martha builes
4057,ACH43,kalley,330,453,Medellin,Ana Rubio
1789,ACH01,rico,1013,1100,Sabaneta,Martha builes
4634,ACH22,kalley,762,689,Envigado,Carlos Zapata
6017,ACH43,sony,458,271,Medellin,Pedro Perez
6238,ACH01,kalley,210,152,Medellin,Pedro Perez
9275,ACH01,rico,1623,1570,La estrella,Pedro Perez
3216,ACH22,kalley,2433,2483,itagui,Jhon doe
6185,ACH01,sony,688,877,Envigado,Carlos Zapata
2925,ACH43,sony,1544,1869,La estrella,Carlos Zapata
6502,ACH43,rico,2473,2364,itagui,Ana Rubio
3636,ACH43,kalley,768,909,Envigado,Jhon doe
923,ACH01,rico,883,737,Envigado,Ana Rubio
1404,ACH01,rico,928,767,Envigado,Carlos Zapata
7996,ACH01,sony,1341,1076,Sabaneta,Martha builes
7149,ACH01,sony,178,465,Medellin,Carlos Zapata
5563,ACH43,rico,202,463,Medellin,Pedro Perez
8053,ACH01,rico,2432,2173,itagui,Pedro Perez
2447,ACH43,sony,2479,2124,itagui,Carlos Zapata
8358,ACH43,sony,861,613,Envigado,Carlos Zapata
6108,ACH43,rico,2465,2473,itagui,Ana Rubio
1446,ACH43,sony,2083,2024,itagui,Martha builes
3142,ACH22,sony,474,417,Medellin,Carlos Zapata
20,ACH22,kalley,628,756,Envigado,Ana Rubio
3789,ACH22,kalley,477,155,Medellin,Pedro Perez
9865,ACH01,rico,686,642,Envigado,Martha builes
2475,ACH22,rico,531,787,Envigado,Martha builes
421,ACH22,rico,958,703,Envigado,Ana Rubio
198,ACH22,rico,1885,1601,La estrella,Martha builes
6063,ACH01,kalley,1890,1937,La estrella,Ana Rubio
7741,ACH22,rico,2337,2080,itagui,Ana Rubio
3731,ACH43,kalley,966,817,Envigado,Carlos Zapata
7028,ACH43,kalley,2146,2083,itagui,Carlos Zapata
7524,ACH01,sony,651,562,Envigado,Martha builes
2617,ACH43,kalley,1586,1763,La estrella,Ana Rubio
1961,ACH43,kalley,185,276,Medellin,Martha builes
8118,ACH43,rico,1295,1068,Sabaneta,Jhon doe
2031,ACH01,sony,303,470,Medellin,Ana Rubio
6821,ACH22,kalley,211,457,Medellin,Jhon doe
8266,ACH43,rico,1380,1071,Sabaneta,Ana Rubio
2027,ACH43,kalley,1606,1566,La estrella,Pedro Perez
9248,ACH01,kalley,1999,1647,La estrella,Martha builes
8745,ACH22,kalley,2393,2142,itagui,Ana Rubio
4194,ACH43,kalley,1991,1961,La estrella,Jhon doe
4107,ACH01,rico,1712,1852,La estrella,Pedro Perez
6719,ACH22,sony,1860,1886,La estrella,Martha builes
6310,ACH01,sony,395,465,Medellin,Ana Rubio
1984,ACH01,rico,2146,2470,itagui,Ana Rubio
744,ACH01,sony,2004,2141,itagui,Pedro Perez
3763,ACH43,kalley,477,207,Medellin,Pedro Perez
2130,ACH43,rico,101,339,Medellin,Ana Rubio
8014,ACH43,rico,941,646,Envigado,Pedro Perez
9890,ACH22,sony,1954,1816,La estrella,Pedro Perez
2317,ACH01,rico,650,901,Envigado,Jhon doe
9675,ACH43,kalley,1818,1931,La estrella,Carlos Zapata
5828,ACH22,sony,1534,1710,La estrella,Carlos Zapata
1576,ACH22,kalley,1121,1015,Sabaneta,Martha builes
3312,ACH01,sony,1345,1191,Sabaneta,Ana Rubio
371,ACH43,kalley,173,331,Medellin,Carlos Zapata
4343,ACH22,rico,1999,1832,La estrella,Jhon doe
2981,ACH43,rico,1584,1851,La estrella,Carlos Zapata
3663,ACH22,sony,607,560,Envigado,Ana Rubio
4712,ACH22,sony,1254,1130,Sabaneta,Martha builes
2884,ACH43,sony,344,119,Medellin,Pedro Perez
4278,ACH22,kalley,1837,1777,La estrella,Carlos Zapata
